REF DU MUSEE,NOM DU MUSEE,Année,REGION,VILLE,PAYANT,GRATUIT,TOTAL,ID MUSEOFILE,NOMDEP,Identifiant Muséofile,Adresse,Code Postal,URL,Latitude,Longitude,geolocalisation
7511619,Musée Yves Saint Laurent,2019,ILE-DE-France,PARIS,119984,12955,132939,M1204,PARIS,M1204,5 avenue Marceau,75116,museeyslparis.com/,48.873694,2.280339,"48.873694, 2.280339"
7510602,Musée National Eugène Delacroix,2019,ILE-DE-France,PARIS,37176,37388,74564,M5004,PARIS,M5004,6 rue de Fürstenberg,75006,www.musee-delacroix.fr/fr/,48.854434,2.335679,"48.854434, 2.335679"
7510602,Musée National Eugène Delacroix,2020,ILE-DE-France,PARIS,6946,13839,20785,M5004,PARIS,M5004,6 rue de Fürstenberg,75006,www.musee-delacroix.fr/fr/,48.854434,2.335679,"48.854434, 2.335679"
7511801,Musée de Montmartre,2019,ILE-DE-France,PARIS,97823,14062,111885,M0369,PARIS,M0369,"12, rue Cortot",75018,museedemontmartre.fr/,48.887709,2.340577,"48.887709, 2.340577"
7511502,Musée Bourdelle,2019,ILE-DE-France,PARIS,69186,92307,161493,M1103,PARIS,M1103,16 rue Antoine Bourdelle,75015,www.bourdelle.paris.fr/,48.843017,2.31883,"48.843017, 2.31883"
7511502,Musée Bourdelle,2020,ILE-DE-France,PARIS,15977,34827,50804,M1103,PARIS,M1103,16 rue Antoine Bourdelle,75015,www.bourdelle.paris.fr/,48.843017,2.31883,"48.843017, 2.31883"
7510905,Musée de la Vie Romantique,2019,ILE-DE-France,PARIS,16120,138543,154663,M1113,PARIS,M1113,16 rue Chaptal,75009,museevieromantique.paris.fr/fr,48.880899,2.333278,"48.880899, 2.333278"
7510905,Musée de la Vie Romantique,2020,ILE-DE-France,PARIS,18623,71952,90575,M1113,PARIS,M1113,16 rue Chaptal,75009,museevieromantique.paris.fr/fr,48.880899,2.333278,"48.880899, 2.333278"
7510106,Musée du Louvre,2020,ILE-DE-France,PARIS,1222612,1474972,2697584,M5031,PARIS,M5031,"Musée du Louvre, 75058 Paris CEDEX 01",75058,www.louvre.fr/,48.86079459806906,2.3378156596817785,"48.86079459806906, 2.3378156596817785"
7510106,Musée du Louvre,2019,ILE-DE-France,PARIS,5729967,3790306,9520273,M5031,PARIS,M5031,"Musée du Louvre, 75058 Paris CEDEX 01",75058,www.louvre.fr/,48.86079459806906,2.3378156596817785,"48.86079459806906, 2.3378156596817785"
7511603,Etablissement Public du Musée des Arts Asiatiques Guimet,2019,ILE-DE-France,PARIS,111624,141599,253223,M5005,PARIS,M5005,"6, place d'Iéna",75116,www.museeguimet.fr,48.86425,2.293754,"48.86425, 2.293754"
7511603,Etablissement Public du Musée des Arts Asiatiques Guimet,2020,ILE-DE-France,PARIS,45578,50758,96336,M5005,PARIS,M5005,"6, place d'Iéna",75116,www.museeguimet.fr,48.86425,2.293754,"48.86425, 2.293754"
7510807,"Musée Cernuschi, Musée des Arts de l'Asie de la ville de Paris",2019,ILE-DE-France,PARIS,16917,29111,46028,M1106,PARIS,M1106,7 avenue Vélasquez,75008,www.cernuschi.paris.fr/,48.879693,2.312194,"48.879693, 2.312194"
7510807,"Musée Cernuschi, Musée des Arts de l'Asie de la ville de Paris",2020,ILE-DE-France,PARIS,2859,23251,26110,M1106,PARIS,M1106,7 avenue Vélasquez,75008,www.cernuschi.paris.fr/,48.879693,2.312194,"48.879693, 2.312194"
7510609,Musée du 11 Conti - Monnaie de Paris,2019,ILE-DE-France,PARIS,96200,33800,130000,M5066,PARIS,M5066,"11, quai de Conti",75006,www.monnaiedeparis.fr/,48.857003,2.338699,"48.857003, 2.338699"
7510609,Musée du 11 Conti - Monnaie de Paris,2020,ILE-DE-France,PARIS,26100,18900,45000,M5066,PARIS,M5066,"11, quai de Conti",75006,www.monnaiedeparis.fr/,48.857003,2.338699,"48.857003, 2.338699"
